team,year,group,wins,losses,winning_pct,conf_wins,conf_losses,conf_winning_pct,ppg_offense,ppg_defense,SRS,SOS
Missouri,2017,1,7.0,6.0,0.538,4.0,4.0,0.5,37.5,31.8,4.28,1.44
Florida,2017,1,4.0,7.0,0.364,3.0,5.0,0.375,22.1,27.3,0.83,5.37
Vanderbilt,2017,2,5.0,7.0,0.417,1.0,7.0,0.125,24.6,31.3,-2.11,2.3
Tennessee,2017,2,4.0,8.0,0.333,0.0,8.0,0.0,19.8,29.1,-3.18,3.41
Alabama,2017,0,13.0,1.0,0.929,7.0,1.0,0.875,37.1,11.9,21.25,5.46
Auburn,2017,0,10.0,4.0,0.714,7.0,1.0,0.875,33.9,18.5,17.95,6.38
LSU,2017,0,9.0,4.0,0.692,6.0,2.0,0.75,27.2,18.9,11.77,3.93
Mississippi State,2017,1,9.0,4.0,0.692,4.0,4.0,0.5,32.0,20.9,11.85,3.85
Texas A&M,2017,1,7.0,6.0,0.538,4.0,4.0,0.5,32.7,30.7,3.36,3.05
Ole Miss,2017,1,6.0,6.0,0.5,3.0,5.0,0.375,32.8,34.6,2.78,1.44
Arkansas,2017,2,4.0,8.0,0.333,1.0,7.0,0.125,28.8,36.2,-2.45,4.3
Appalachian State,2017,0,9.0,4.0,0.692,7.0,1.0,0.875,33.5,20.2,0.59,-7.72
Coastal Carolina,2017,2,3.0,9.0,0.25,2.0,6.0,0.25,23.7,34.0,-17.2,-8.78
Georgia Southern,2017,2,2.0,10.0,0.167,2.0,6.0,0.25,20.8,32.2,-16.83,-5.58
Troy,2017,0,11.0,2.0,0.846,7.0,1.0,0.875,31.5,18.5,3.59,-8.03
Arkansas State,2017,1,7.0,5.0,0.583,6.0,2.0,0.75,37.8,25.8,-2.42,-9.92
Georgia State,2017,1,7.0,5.0,0.583,5.0,3.0,0.625,20.3,24.8,-10.66,-9.25
New Mexico State,2017,1,7.0,6.0,0.538,4.0,4.0,0.5,29.3,29.7,-8.69,-8.3
Louisiana,2017,2,5.0,7.0,0.417,4.0,4.0,0.5,28.2,40.0,-15.51,-8.35
Louisiana Monroe,2017,2,4.0,8.0,0.333,4.0,4.0,0.5,33.9,41.0,-10.88,-4.88
Idaho,2017,2,4.0,8.0,0.333,3.0,5.0,0.375,20.9,25.8,-11.35,-7.94
South Alabama,2017,2,4.0,8.0,0.333,3.0,5.0,0.375,19.8,26.5,-11.71,-6.46
Texas State,2017,2,2.0,10.0,0.167,1.0,7.0,0.125,17.3,33.6,-19.31,-7.31
Clemson,2018,0,15.0,0.0,1.0,8.0,0.0,1.0,44.3,13.1,26.45,5.19
Syracuse,2018,0,10.0,3.0,0.769,6.0,2.0,0.75,40.2,27.0,12.14,1.3
North Carolina State,2018,0,9.0,4.0,0.692,5.0,3.0,0.625,33.8,24.9,6.8,0.49
Boston College,2018,1,7.0,5.0,0.583,4.0,4.0,0.5,32.0,25.7,4.61,1.78
Wake Forest,2018,1,7.0,6.0,0.538,3.0,5.0,0.375,32.8,33.3,2.41,2.41
Florida State,2018,1,5.0,7.0,0.417,3.0,5.0,0.375,21.9,31.5,-1.67,4.92
Louisville,2018,2,2.0,10.0,0.167,0.0,8.0,0.0,19.8,44.1,-9.84,5.41
Pitt,2018,1,7.0,7.0,0.5,6.0,2.0,0.75,25.6,27.8,5.7,6.55
Georgia Tech,2018,1,7.0,6.0,0.538,5.0,3.0,0.625,33.6,29.3,2.76,1.76
Virginia,2018,1,8.0,5.0,0.615,4.0,4.0,0.5,28.5,20.1,7.11,-0.04
Miami FL,2018,1,7.0,6.0,0.538,4.0,4.0,0.5,28.8,19.5,6.58,1.73
Virginia Tech,2018,1,6.0,7.0,0.462,4.0,4.0,0.5,29.8,31.0,-0.37,1.55
Duke,2018,1,8.0,5.0,0.615,3.0,5.0,0.375,29.4,27.4,6.37,3.6
North Carolina,2018,2,2.0,9.0,0.182,1.0,7.0,0.125,27.4,34.5,-4.75,1.7
UCF,2018,0,12.0,1.0,0.923,8.0,0.0,1.0,43.2,22.7,14.53,-2.78
Temple,2018,0,8.0,5.0,0.615,7.0,1.0,0.875,34.9,27.1,1.78,-2.6
Cincinnati,2018,0,11.0,2.0,0.846,6.0,2.0,0.75,34.9,17.2,7.15,-3.93
South Florida,2018,1,7.0,6.0,0.538,3.0,5.0,0.375,28.5,32.0,-6.28,-3.74
East Carolina,2018,2,3.0,9.0,0.25,1.0,7.0,0.125,22.8,37.3,-11.08,-2.41
Connecticut,2018,2,1.0,11.0,0.083,0.0,8.0,0.0,22.2,50.4,-18.99,-1.32
Houston,2018,1,8.0,5.0,0.615,5.0,3.0,0.625,43.9,37.2,1.18,-4.82
Memphis,2018,1,8.0,6.0,0.571,5.0,3.0,0.625,42.9,31.9,2.27,-3.88
Tulane,2018,1,7.0,6.0,0.538,5.0,3.0,0.625,26.8,27.5,-0.86,-2.17
SMU,2018,1,5.0,7.0,0.417,4.0,4.0,0.5,30.4,35.3,-5.38,-0.8
Tulsa,2018,2,3.0,9.0,0.25,2.0,6.0,0.25,24.1,29.6,-9.74,-3.74
Navy,2018,2,3.0,10.0,0.231,2.0,6.0,0.25,25.0,33.5,-7.09,0.68
Oklahoma,2018,0,12.0,2.0,0.857,8.0,1.0,0.889,48.4,33.3,18.06,6.14
Texas,2018,0,10.0,4.0,0.714,7.0,2.0,0.778,31.1,25.9,11.15,6.3
West Virginia,2018,0,8.0,4.0,0.667,6.0,3.0,0.667,40.3,27.2,12.6,3.85
Iowa State,2018,1,8.0,5.0,0.615,6.0,3.0,0.667,26.8,22.9,7.78,4.01
Baylor,2018,1,7.0,6.0,0.538,4.0,5.0,0.444,29.5,31.7,3.25,3.02
Texas Christian,2018,1,7.0,6.0,0.538,4.0,5.0,0.444,23.5,23.1,3.88,4.34
Oklahoma State,2018,1,7.0,6.0,0.538,3.0,6.0,0.333,38.4,32.5,6.82,3.67
Kansas State,2018,1,5.0,7.0,0.417,3.0,6.0,0.333,22.5,25.4,1.39,3.47
Texas Tech,2018,1,5.0,7.0,0.417,3.0,6.0,0.333,37.3,31.1,5.09,3.76
Kansas,2018,2,3.0,9.0,0.25,1.0,8.0,0.111,23.8,30.0,-4.86,2.14
Ohio State,2018,0,13.0,1.0,0.929,8.0,1.0,0.889,42.4,25.5,17.74,4.1
Michigan,2018,0,10.0,3.0,0.769,8.0,1.0,0.889,35.2,19.4,16.47,5.47
Penn State,2018,0,9.0,4.0,0.692,6.0,3.0,0.667,33.8,20.5,12.32,4.86
Michigan State,2018,1,7.0,6.0,0.538,5.0,4.0,0.556,18.7,17.2,6.01,5.08
Maryland,2018,1,5.0,7.0,0.417,3.0,6.0,0.333,28.5,28.7,2.88,4.63
Indiana,2018,2,5.0,7.0,0.417,2.0,7.0,0.222,26.4,29.9,2.44,5.61
Rutgers,2018,2,1.0,11.0,0.083,0.0,9.0,0.0,13.5,31.4,-9.65,4.1
Northwestern,2018,0,9.0,5.0,0.643,8.0,1.0,0.889,24.2,23.2,7.51,5.94
Iowa,2018,0,9.0,4.0,0.692,5.0,4.0,0.556,31.2,17.8,13.14,3.29
Wisconsin,2018,1,8.0,5.0,0.615,5.0,4.0,0.556,29.7,22.6,7.68,2.6
Purdue,2018,1,6.0,7.0,0.462,5.0,4.0,0.556,30.5,30.0,7.04,6.51
Minnesota,2018,1,7.0,6.0,0.538,3.0,6.0,0.333,28.9,26.5,5.28,4.05
Nebraska,2018,1,4.0,8.0,0.333,3.0,6.0,0.333,30.0,31.3,3.48,4.82
Illinois,2018,2,4.0,8.0,0.333,2.0,7.0,0.222,26.0,39.4,-6.05,0.79
Middle Tennessee State,2018,1,8.0,6.0,0.571,7.0,1.0,0.875,28.0,26.7,0.65,-1.85
Florida International,2018,0,9.0,4.0,0.692,6.0,2.0,0.75,34.6,25.2,-0.53,-7.15
Marshall,2018,0,9.0,4.0,0.692,6.0,2.0,0.75,28.2,21.8,0.69,-5.92
Charlotte,2018,1,5.0,7.0,0.417,4.0,4.0,0.5,21.7,26.6,-7.33,-4.24
Florida Atlantic,2018,1,5.0,7.0,0.417,3.0,5.0,0.375,31.1,31.8,-2.73,-2.15
Old Dominion,2018,2,4.0,8.0,0.333,2.0,6.0,0.25,30.8,35.9,-12.87,-6.79
Western Kentucky,2018,2,3.0,9.0,0.25,2.0,6.0,0.25,21.1,27.8,-14.11,-6.78
UAB,2018,0,11.0,3.0,0.786,7.0,1.0,0.875,29.9,17.0,1.99,-6.44
North Texas,2018,1,9.0,4.0,0.692,5.0,3.0,0.625,34.6,24.2,0.58,-8.42
Louisiana Tech,2018,1,8.0,5.0,0.615,5.0,3.0,0.625,24.7,23.0,-4.78,-6.7
Southern Mississippi,2018,1,6.0,5.0,0.545,5.0,3.0,0.625,26.2,19.8,-4.18,-7.36
UTSA,2018,2,3.0,9.0,0.25,2.0,6.0,0.25,14.2,31.2,-16.4,-4.4
Rice,2018,2,2.0,11.0,0.154,1.0,7.0,0.125,18.9,36.0,-19.18,-5.03
UTEP,2018,2,1.0,11.0,0.083,1.0,7.0,0.125,17.7,32.8,-22.88,-8.46
Liberty,2018,1,6.0,6.0,0.5,0.0,0.0,0.0,33.3,36.8,-9.12,-6.62
Massachusetts,2018,2,4.0,8.0,0.333,0.0,0.0,0.0,32.8,42.9,-11.06,-2.81
New Mexico State,2018,2,3.0,9.0,0.25,0.0,0.0,0.0,25.3,41.3,-17.59,-5.84
Notre Dame,2018,0,12.0,1.0,0.923,0.0,0.0,0.0,31.4,18.2,17.4,5.17
Army,2018,1,11.0,2.0,0.846,0.0,0.0,0.0,32.8,17.7,7.27,-3.81
BYU,2018,1,7.0,6.0,0.538,0.0,0.0,0.0,27.2,21.4,3.07,-0.94
Buffalo,2018,0,10.0,4.0,0.714,7.0,1.0,0.875,34.6,25.9,1.57,-5.29
Ohio,2018,0,9.0,4.0,0.692,6.0,2.0,0.75,40.1,24.6,4.51,-5.95
Miami OH,2018,1,6.0,6.0,0.5,6.0,2.0,0.75,28.1,25.5,-0.73,-2.73
Akron,2018,2,4.0,8.0,0.333,2.0,6.0,0.25,18.9,27.2,-11.66,-3.33
Bowling Green,2018,2,3.0,9.0,0.25,2.0,6.0,0.25,24.3,40.0,-15.11,-4.11
Kent State,2018,2,2.0,10.0,0.167,1.0,7.0,0.125,23.9,36.7,-15.05,-3.64
Northern Illinois,2018,1,8.0,6.0,0.571,6.0,2.0,0.75,20.1,22.6,-1.92,-0.92
Eastern Michigan,2018,1,7.0,6.0,0.538,5.0,3.0,0.625,27.0,22.1,-1.16,-4.85
Toledo,2018,1,7.0,6.0,0.538,5.0,3.0,0.625,40.4,30.5,-0.7,-5.0
Western Michigan,2018,1,7.0,6.0,0.538,5.0,3.0,0.625,32.0,34.5,-4.92,-3.31
Ball State,2018,2,4.0,8.0,0.333,3.0,5.0,0.375,24.2,32.4,-10.49,-4.08
Central Michigan,2018,2,1.0,11.0,0.083,0.0,8.0,0.0,15.0,27.3,-15.76,-4.18
Utah State,2018,0,11.0,2.0,0.846,7.0,1.0,0.875,47.5,22.2,9.58,-5.88
Boise State,2018,0,10.0,3.0,0.769,7.0,1.0,0.875,35.4,22.1,8.69,-0.46
Wyoming,2018,1,6.0,6.0,0.5,4.0,4.0,0.5,20.7,22.0,-3.45,-2.12
Air Force,2018,1,5.0,7.0,0.417,3.0,5.0,0.375,30.3,25.8,-1.72,-3.8
Colorado State,2018,2,3.0,9.0,0.25,2.0,6.0,0.25,22.8,36.8,-12.74,-2.49
New Mexico,2018,2,3.0,9.0,0.25,1.0,7.0,0.125,26.6,36.2,-11.3,-3.21
Fresno State,2018,0,12.0,2.0,0.857,7.0,1.0,0.875,34.6,14.1,12.32,-3.04
Nevada,2018,1,8.0,5.0,0.615,5.0,3.0,0.625,31.1,26.9,-1.62,-3.78
Hawaii,2018,1,8.0,6.0,0.571,5.0,3.0,0.625,30.8,35.1,-6.13,-4.41
San Diego State,2018,1,7.0,6.0,0.538,4.0,4.0,0.5,20.6,22.2,-3.32,-1.94
UNLV,2018,2,4.0,8.0,0.333,2.0,6.0,0.25,28.8,37.3,-9.98,-4.48
San Jose State,2018,2,1.0,11.0,0.083,1.0,7.0,0.125,21.3,36.6,-12.93,-0.68
Washington,2018,0,10.0,4.0,0.714,7.0,2.0,0.778,26.4,16.4,11.42,3.7
Washington State,2018,0,11.0,2.0,0.846,7.0,2.0,0.778,37.5,23.3,12.19,-0.04
Stanford,2018,0,9.0,4.0,0.692,6.0,3.0,0.667,28.4,22.9,7.71,2.87
Oregon,2018,1,9.0,4.0,0.692,5.0,4.0,0.556,34.8,25.4,6.67,-0.49
California,2018,1,7.0,6.0,0.538,4.0,5.0,0.444,21.5,20.4,1.67,0.67
Oregon State,2018,2,2.0,10.0,0.167,1.0,8.0,0.111,26.1,45.7,-10.86,3.56
Utah,2018,0,9.0,5.0,0.643,6.0,3.0,0.667,28.1,19.4,9.91,3.06
Arizona State,2018,1,7.0,6.0,0.538,5.0,4.0,0.556,29.9,25.5,5.37,1.67
Arizona,2018,1,5.0,7.0,0.417,4.0,5.0,0.444,31.3,32.6,-0.57,0.76
USC,2018,1,5.0,7.0,0.417,4.0,5.0,0.444,26.1,27.0,2.22,3.39
UCLA,2018,2,3.0,9.0,0.25,3.0,6.0,0.333,24.6,34.1,-2.19,6.73
Colorado,2018,2,5.0,7.0,0.417,2.0,7.0,0.222,27.1,27.3,-1.17,0.08
Georgia,2018,0,11.0,3.0,0.786,7.0,1.0,0.875,37.9,19.2,20.69,6.33
Florida,2018,0,10.0,3.0,0.769,5.0,3.0,0.625,35.0,20.0,13.66,4.04
Kentucky,2018,0,10.0,3.0,0.769,5.0,3.0,0.625,26.6,16.8,12.06,4.37
Missouri,2018,1,8.0,5.0,0.615,4.0,4.0,0.5,36.6,25.5,13.14,5.75
South Carolina,2018,1,7.0,6.0,0.538,4.0,4.0,0.5,30.1,27.2,7.34,5.88
Vanderbilt,2018,1,6.0,7.0,0.462,3.0,5.0,0.375,28.5,26.6,6.25,5.09
Tennessee,2018,2,5.0,7.0,0.417,2.0,6.0,0.25,22.8,27.9,0.39,6.05
Alabama,2018,0,14.0,1.0,0.933,8.0,0.0,1.0,45.6,18.1,25.29,6.63
LSU,2018,0,10.0,3.0,0.769,5.0,3.0,0.625,32.4,21.8,15.2,5.67
Texas A&M,2018,0,9.0,4.0,0.692,5.0,3.0,0.625,36.0,25.3,13.61,7.15
Mississippi State,2018,1,8.0,5.0,0.615,4.0,4.0,0.5,28.5,13.2,13.24,5.93
Auburn,2018,1,8.0,5.0,0.615,3.0,5.0,0.375,30.9,19.2,10.76,5.6
Ole Miss,2018,2,5.0,7.0,0.417,1.0,7.0,0.125,33.9,36.2,2.81,4.39
Arkansas,2018,2,2.0,10.0,0.167,0.0,8.0,0.0,21.7,34.8,-4.63,4.96
Appalachian State,2018,0,11.0,2.0,0.846,7.0,1.0,0.875,37.3,15.5,9.76,-4.78
Troy,2018,0,10.0,3.0,0.769,7.0,1.0,0.875,30.7,22.0,3.05,-4.64
Georgia Southern,2018,0,10.0,3.0,0.769,6.0,2.0,0.75,30.5,21.5,3.8,-5.05
Coastal Carolina,2018,2,5.0,7.0,0.417,2.0,6.0,0.25,26.7,33.2,-9.17,-3.25
Georgia State,2018,2,2.0,10.0,0.167,1.0,7.0,0.125,23.9,37.4,-14.41,-2.41
Arkansas State,2018,1,8.0,5.0,0.615,5.0,3.0,0.625,30.3,25.6,0.92,-4.69
Louisiana,2018,1,7.0,7.0,0.5,5.0,3.0,0.625,31.9,34.2,-2.46,-2.32
Louisiana Monroe,2018,1,6.0,6.0,0.5,4.0,4.0,0.5,26.6,31.8,-5.5,-4.42
South Alabama,2018,2,3.0,9.0,0.25,2.0,6.0,0.25,24.2,38.8,-13.56,-2.39
Texas State,2018,2,3.0,9.0,0.25,1.0,7.0,0.125,19.8,27.7,-14.5,-6.75
Clemson,2019,0,14.0,1.0,0.933,8.0,0.0,1.0,43.9,13.5,21.04,2.7
Louisville,2019,1,8.0,5.0,0.615,5.0,3.0,0.625,33.1,33.4,3.09,2.55
Wake Forest,2019,1,8.0,5.0,0.615,4.0,4.0,0.5,31.8,29.1,3.23,0.0
Boston College,2019,1,6.0,7.0,0.462,4.0,4.0,0.5,29.0,32.2,-0.37,1.17
Florida State,2019,1,6.0,7.0,0.462,4.0,4.0,0.5,27.9,27.8,1.78,2.32
Syracuse,2019,2,5.0,7.0,0.417,2.0,6.0,0.25,28.3,30.7,-2.79,-0.62
North Carolina State,2019,2,4.0,8.0,0.333,1.0,7.0,0.125,22.1,30.1,-7.82,-0.91
Miami FL,2019,1,6.0,7.0,0.462,4.0,4.0,0.5,25.7,20.2,1.97,-0.18
Virginia,2019,0,9.0,5.0,0.643,6.0,2.0,0.75,32.1,27.1,6.29,1.5
Virginia Tech,2019,1,8.0,5.0,0.615,5.0,3.0,0.625,30.8,24.7,3.37,-1.63
Pitt,2019,1,8.0,5.0,0.615,4.0,4.0,0.5,21.2,22.5,0.6,0.52
North Carolina,2019,1,7.0,6.0,0.538,4.0,4.0,0.5,33.1,23.7,6.38,1.22
Duke,2019,1,5.0,7.0,0.417,3.0,5.0,0.375,25.3,29.2,0.11,2.03
Georgia Tech,2019,2,3.0,9.0,0.25,2.0,6.0,0.25,16.7,32.4,-8.49,2.42
Cincinnati,2019,0,11.0,3.0,0.786,7.0,1.0,0.875,29.6,20.6,10.87,2.51
UCF,2019,0,10.0,3.0,0.769,6.0,2.0,0.75,43.4,23.0,11.59,-1.87
Temple,2019,1,8.0,5.0,0.615,5.0,3.0,0.625,26.3,25.9,1.22,-0.09
South Florida,2019,2,4.0,8.0,0.333,2.0,6.0,0.25,20.8,28.9,-3.26,2.16
East Carolina,2019,2,4.0,8.0,0.333,1.0,7.0,0.125,26.8,33.7,-9.85,-2.85
Connecticut,2019,2,2.0,10.0,0.167,0.0,8.0,0.0,18.9,40.5,-14.83,-1.33
Memphis,2019,0,12.0,2.0,0.857,7.0,1.0,0.875,40.4,26.4,13.66,2.09
Navy,2019,0,11.0,2.0,0.846,7.0,1.0,0.875,37.2,22.3,12.6,0.83
SMU,2019,0,10.0,3.0,0.769,6.0,2.0,0.75,41.8,33.4,9.02,0.64
Tulane,2019,1,7.0,6.0,0.538,3.0,5.0,0.375,33.1,26.3,3.98,1.21
Houston,2019,2,4.0,8.0,0.333,2.0,6.0,0.25,30.7,34.0,-0.41,3.25
Tulsa,2019,2,4.0,8.0,0.333,2.0,6.0,0.25,26.4,31.3,0.43,5.01
Oklahoma,2019,0,12.0,2.0,0.857,8.0,1.0,0.889,42.1,27.3,15.79,4.36
Baylor,2019,0,11.0,3.0,0.786,8.0,1.0,0.889,33.6,19.8,12.12,2.62
Kansas State,2019,1,8.0,5.0,0.615,5.0,4.0,0.556,29.6,21.4,7.02,2.64
Oklahoma State,2019,1,8.0,5.0,0.615,5.0,4.0,0.556,32.5,26.8,7.39,3.46
Texas,2019,1,8.0,5.0,0.615,5.0,4.0,0.556,35.2,27.5,12.18,5.8
Iowa State,2019,1,7.0,6.0,0.538,5.0,4.0,0.556,32.2,25.9,7.92,4.53
Texas Christian,2019,1,5.0,7.0,0.417,3.0,6.0,0.333,30.3,26.4,5.27,3.6
West Virginia,2019,2,5.0,7.0,0.417,3.0,6.0,0.333,20.6,28.8,-2.92,3.16
Texas Tech,2019,2,4.0,8.0,0.333,2.0,7.0,0.222,30.5,30.3,-0.65,1.1
Kansas,2019,2,3.0,9.0,0.25,1.0,8.0,0.111,23.5,36.1,-5.73,3.19
Ohio State,2019,0,13.0,1.0,0.929,9.0,0.0,1.0,46.9,13.7,27.39,7.32
Penn State,2019,0,11.0,2.0,0.846,7.0,2.0,0.778,35.8,16.0,17.34,4.88
Michigan,2019,0,9.0,4.0,0.692,6.0,3.0,0.667,31.7,20.7,15.5,7.88
Indiana,2019,1,8.0,5.0,0.615,5.0,4.0,0.556,31.8,24.4,5.79,1.49
Michigan State,2019,1,7.0,6.0,0.538,4.0,5.0,0.444,22.4,22.5,6.06,5.6
Maryland,2019,2,3.0,9.0,0.25,1.0,8.0,0.111,25.3,34.7,-3.18,4.57
Rutgers,2019,2,2.0,10.0,0.167,0.0,9.0,0.0,13.3,36.7,-11.16,4.93
Minnesota,2019,0,11.0,2.0,0.846,7.0,2.0,0.778,34.1,22.5,11.73,2.11
Wisconsin,2019,0,10.0,4.0,0.714,7.0,2.0,0.778,34.1,16.9,17.73,7.73
Iowa,2019,0,10.0,3.0,0.769,6.0,3.0,0.667,25.8,14.0,14.6,4.44
Illinois,2019,1,6.0,7.0,0.462,4.0,5.0,0.444,26.7,26.2,-0.08,0.61
Nebraska,2019,1,5.0,7.0,0.417,3.0,6.0,0.333,28.0,27.8,2.67,4.0
Purdue,2019,2,4.0,8.0,0.333,3.0,6.0,0.333,25.8,30.6,-0.52,4.15
Northwestern,2019,2,3.0,9.0,0.25,1.0,8.0,0.111,16.3,23.6,-3.13,3.46
Florida Atlantic,2019,0,11.0,3.0,0.786,7.0,1.0,0.875,36.4,22.7,8.28,-2.43
Western Kentucky,2019,0,9.0,4.0,0.692,6.0,2.0,0.75,25.4,20.1,0.31,-5.08
Marshall,2019,1,8.0,5.0,0.615,6.0,2.0,0.75,25.8,25.0,-0.54,-2.38
Charlotte,2019,1,7.0,6.0,0.538,5.0,3.0,0.625,29.8,32.4,-6.88,-5.41
Florida International,2019,1,6.0,7.0,0.462,3.0,5.0,0.375,26.5,27.2,-8.19,-6.96
Middle Tennessee State,2019,2,4.0,8.0,0.333,3.0,5.0,0.375,26.3,29.9,-6.11,-2.69
Old Dominion,2019,2,1.0,11.0,0.083,0.0,8.0,0.0,16.3,29.8,-17.12,-4.2
Louisiana Tech,2019,0,10.0,3.0,0.769,6.0,2.0,0.75,32.5,21.8,-1.05,-9.51
UAB,2019,1,9.0,5.0,0.643,6.0,2.0,0.75,23.1,21.6,-4.6,-7.88
Southern Mississippi,2019,1,7.0,6.0,0.538,5.0,3.0,0.625,26.6,26.2,-2.9,-3.67
North Texas,2019,2,4.0,8.0,0.333,3.0,5.0,0.375,30.6,32.5,-9.47,-6.3
UTSA,2019,2,4.0,8.0,0.333,3.0,5.0,0.375,20.3,33.9,-14.08,-5.08
Rice,2019,2,3.0,9.0,0.25,3.0,5.0,0.375,17.9,25.9,-10.46,-3.21
UTEP,2019,2,1.0,11.0,0.083,0.0,8.0,0.0,19.6,35.9,-23.1,-8.52
Liberty,2019,1,8.0,5.0,0.615,0.0,0.0,0.0,32.8,28.1,-5.7,-8.54
New Mexico State,2019,2,2.0,10.0,0.167,0.0,0.0,0.0,21.7,41.0,-16.86,-3.78
Massachusetts,2019,2,1.0,11.0,0.083,0.0,0.0,0.0,19.8,52.7,-29.95,-8.87
Notre Dame,2019,0,11.0,2.0,0.846,0.0,0.0,0.0,36.8,17.9,17.22,3.3
BYU,2019,1,7.0,6.0,0.538,0.0,0.0,0.0,28.5,25.5,0.85,-1.23
Army,2019,1,5.0,8.0,0.385,0.0,0.0,0.0,28.5,23.0,-4.23,-4.7
Miami OH,2019,1,8.0,6.0,0.571,6.0,2.0,0.75,24.1,28.1,-3.03,-1.67
Buffalo,2019,1,8.0,5.0,0.615,5.0,3.0,0.625,31.5,21.3,1.44,-6.49
Kent State,2019,1,7.0,6.0,0.538,5.0,3.0,0.625,29.2,31.8,-4.19,-3.73
Ohio,2019,1,7.0,6.0,0.538,5.0,3.0,0.625,34.3,26.5,-2.7,-6.32
Bowling Green,2019,2,3.0,9.0,0.25,2.0,6.0,0.25,16.0,38.6,-16.08,-3.66
Akron,2019,2,0.0,12.0,0.0,0.0,8.0,0.0,10.5,36.3,-26.64,-7.06
Central Michigan,2019,1,8.0,6.0,0.571,6.0,2.0,0.75,30.4,28.3,-2.98,-6.41
Western Michigan,2019,1,7.0,6.0,0.538,5.0,3.0,0.625,33.1,25.9,-1.77,-5.85
Ball State,2019,1,5.0,7.0,0.417,4.0,4.0,0.5,34.8,31.4,-3.51,-4.43
Northern Illinois,2019,1,5.0,7.0,0.417,4.0,4.0,0.5,22.8,28.2,-10.01,-5.68
Toledo,2019,1,6.0,6.0,0.5,3.0,5.0,0.375,27.3,32.2,-8.76,-5.26
Eastern Michigan,2019,1,6.0,7.0,0.462,3.0,5.0,0.375,29.2,30.6,-7.5,-5.81
Boise State,2019,0,12.0,2.0,0.857,8.0,0.0,1.0,34.7,21.9,8.94,-2.28
Air Force,2019,0,11.0,2.0,0.846,7.0,1.0,0.875,34.1,19.8,10.47,-2.22
Utah State,2019,1,7.0,6.0,0.538,6.0,2.0,0.75,29.2,30.7,-1.93,-0.31
Wyoming,2019,1,8.0,5.0,0.615,4.0,4.0,0.5,25.4,17.8,1.33,-4.28
Colorado State,2019,2,4.0,8.0,0.333,3.0,5.0,0.375,28.1,31.2,-6.84,-3.59
New Mexico,2019,2,2.0,10.0,0.167,0.0,8.0,0.0,22.3,37.2,-13.7,-2.2
San Diego State,2019,0,10.0,3.0,0.769,5.0,3.0,0.625,21.2,12.7,1.69,-5.85
Hawaii,2019,1,10.0,5.0,0.667,5.0,3.0,0.625,33.9,31.9,0.19,-1.75
Nevada,2019,1,7.0,6.0,0.538,4.0,4.0,0.5,21.3,31.9,-8.64,-4.8
San Jose State,2019,2,5.0,7.0,0.417,2.0,6.0,0.25,30.1,31.9,-6.08,-3.83
Fresno State,2019,2,4.0,8.0,0.333,2.0,6.0,0.25,30.0,30.1,-4.53,-3.12
UNLV,2019,2,4.0,8.0,0.333,2.0,6.0,0.25,24.2,33.0,-11.55,-3.97
Oregon,2019,0,12.0,2.0,0.857,8.0,1.0,0.889,35.4,16.5,17.02,3.6
California,2019,1,8.0,5.0,0.615,4.0,5.0,0.444,21.2,21.9,3.39,2.69
Washington,2019,1,8.0,5.0,0.615,4.0,5.0,0.444,32.0,19.4,12.38,2.68
Oregon State,2019,1,5.0,7.0,0.417,4.0,5.0,0.444,31.2,32.5,2.01,3.18
Washington State,2019,1,6.0,7.0,0.462,3.0,6.0,0.333,37.8,31.4,3.86,2.01
Stanford,2019,2,4.0,8.0,0.333,3.0,6.0,0.333,21.7,29.8,-2.38,5.7
Utah,2019,0,11.0,3.0,0.786,8.0,1.0,0.889,32.3,15.0,14.86,2.29
USC,2019,0,8.0,5.0,0.615,7.0,2.0,0.778,32.5,29.4,8.87,5.64
Arizona State,2019,1,8.0,5.0,0.615,4.0,5.0,0.444,24.8,22.4,4.72,2.34
UCLA,2019,1,4.0,8.0,0.333,4.0,5.0,0.444,26.7,34.8,-0.55,4.95
Colorado,2019,1,5.0,7.0,0.417,3.0,6.0,0.333,23.5,31.8,-0.02,5.07
Arizona,2019,2,4.0,8.0,0.333,2.0,7.0,0.222,26.9,35.8,-4.25,3.17
Georgia,2019,0,12.0,2.0,0.857,7.0,1.0,0.875,30.8,12.6,17.64,5.21
Florida,2019,0,11.0,2.0,0.846,6.0,2.0,0.75,33.2,15.5,15.22,2.91
Tennessee,2019,1,8.0,5.0,0.615,5.0,3.0,0.625,24.2,21.7,5.13,2.74
Kentucky,2019,1,8.0,5.0,0.615,3.0,5.0,0.375,27.2,19.3,5.92,0.15
Missouri,2019,1,6.0,6.0,0.5,3.0,5.0,0.375,25.3,19.4,2.88,0.46
South Carolina,2019,1,4.0,8.0,0.333,3.0,5.0,0.375,22.4,26.1,1.34,7.34
Vanderbilt,2019,2,3.0,9.0,0.25,1.0,7.0,0.125,16.5,31.8,-10.28,2.97
LSU,2019,0,15.0,0.0,1.0,8.0,0.0,1.0,48.4,21.9,25.8,6.6
Alabama,2019,0,11.0,2.0,0.846,6.0,2.0,0.75,47.2,18.6,21.11,2.81
Auburn,2019,0,9.0,4.0,0.692,5.0,3.0,0.625,33.2,19.5,16.26,7.72
